curso,sexo,edad,P1_4,PA_2,PA_4,PA_6,PA_7,PB_1,PB_2,PC_1,PC_2,PC_3,PC_4,PD_2,PD_3,PD_4,PD_5,PD_6,PD_7,PF_1,PF_2,PH_10,dep
Tercero Medio,Mujer,16,Chile,No,No,No,No,Si,No,No,No,Si,No,No,No,No,No,No,No,Si,Si,Si,Municipal y AD
Segundo Medio,Hombre,16,Chile,Si,No,Si,Si,Si,No,Si,No,Si,Si,Si,No,No,No,No,No,Si,No,No,Municipal y AD
Segundo Medio,Hombre,17,Chile,No,Si,Si,No,Si,Si,Si,No,No,No,No,No,No,No,No,No,Si,No,No,Municipal y AD
Tercero Medio,Hombre,17,Chile,No,No,No,Si,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,Si,Municipal y AD
Primero Medio,Mujer,16,Chile,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal y AD
Primero Medio,Mujer,17,Chile,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal y AD
Tercero Medio,Hombre,19,Chile,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal y AD
Tercero Medio,Mujer,19,Chile,No,Si,Si,Si,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal y AD
Segundo Medio,Mujer,15,Chile,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal y AD
Segundo Medio,Mujer,16,Chile,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Municipal y AD
Segundo Medio,Hombre,17,Chile,No,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,Municipal y AD
Segundo Medio,Hombre,16,Chile,No,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,Municipal y AD
Segundo Medio,Mujer,17,Chile,No,Si,Si,No,Si,Si,Si,Si,No,No,No,No,No,No,Si,No,Si,No,No,Municipal y AD
Segundo Medio,Hombre,16,Chile,No,No,No,Si,Si,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Municipal y AD
Segundo Medio,Mujer,15,Chile,No,No,Si,No,No,Si,Si,No,Si,No,Si,No,No,No,No,No,No,No,No,Municipal y AD
Octavo Basico,Mujer,14,Chile,No,Si,No,No,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,Municipal y AD
Octavo Basico,Mujer,14,Chile,No,No,No,No,Si,No,No,No,No,No,Si,No,No,Si,No,No,Si,No,No,Municipal y AD
Primero Medio,Hombre,14,Chile,No,Si,Si,No,No,Si,Si,No,No,No,No,No,No,No,No,No,No,No,Si,Municipal y AD
Primero Medio,Mujer,14,Chile,No,No,Si,No,Si,Si,Si,No,No,No,No,Si,No,No,No,No,No,No,No,Municipal y AD
Primero Medio,Mujer,15,Chile,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,Municipal y AD
Primero Medio,Hombre,15,Chile,No,No,Si,No,No,Si,Si,No,Si,No,No,No,No,No,No,No,No,No,No,Municipal y AD
Septimo Basico,Mujer,12,Chile,No,No,No,No,Si,Si,No,No,No,No,No,No,No,No,No,No,Si,Si,Si,Municipal y AD
Septimo Basico,Mujer,12,Chile,Si,No,Si,Si,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,No,No,Si,Municipal y AD
